,precision,recall,f1-score,support
dumplings,0.9642857142857143,0.9642857142857143,0.9642857142857143,56.0
fried_rice,0.9666666666666667,1.0,0.983050847457627,58.0
kung_pao_chicken,0.88,0.8461538461538461,0.8627450980392156,52.0
mapo_tofu,0.9591836734693877,0.9591836734693877,0.9591836734693877,49.0
sweet_and_sour_pork,0.8461538461538461,0.8461538461538461,0.8461538461538461,39.0
accuracy,0.9291338582677166,0.9291338582677166,0.9291338582677166,0.9291338582677166
macro avg,0.9232579801151231,0.9231554160125588,0.9230838358811582,254.0
weighted avg,0.9284514435695538,0.9291338582677166,0.9286602135849668,254.0
