,precision,recall,f1-score,support
dumplings,0.55,0.5892857142857143,0.5689655172413793,56.0
fried_rice,0.42857142857142855,0.41379310344827586,0.42105263157894735,58.0
kung_pao_chicken,0.34,0.3269230769230769,0.3333333333333333,52.0
mapo_tofu,0.3333333333333333,0.3673469387755102,0.34951456310679613,49.0
sweet_and_sour_pork,0.5,0.4358974358974359,0.4657534246575343,39.0
accuracy,0.42913385826771655,0.42913385826771655,0.42913385826771655,0.42913385826771655
macro avg,0.4303809523809524,0.4266492538660026,0.4277238939835981,254.0
weighted avg,0.42980502437195345,0.42913385826771655,0.42876792159175736,254.0
